short-name;name;country;iso3;lat;lon;link;altlink
Buenos Aires;Universidad de Buenos Aires;Argentina;ARG;-34.9077276;-57.9432517;http://www.df.uba.ar;http://users.df.uba.ar/aia/hepg_exp/exp.html
La Plata;Universidad National de La Plata (UNLP);Argentina;ARG;-34.9131213;-57.95137;http://www.iflp.unlp.edu.ar;
Yerevan;Yerevan Physics Institute;Armenia;ARM;40.2067674;44.4857363;http://www.yerphi.am/;http://www.yerphi.am
Adelaide;University of Adelaide;Australia;AUS;-34.920603;138.6062277;http://www.adelaide.edu.au/directory/p.jackson;http://www.adelaide.edu.au/
Melbourne;ARC Centre of Excellence in Particle Physics at the Terascale, School of Physics, The University of Melbourne;Australia;AUS;-37.7967123;144.9642724;http://www.coepp.org.au/;
Sydney;School of Physics, University of Sydney;Australia;AUS;-33.8880341;151.1870924;http://www.physics.usyd.edu.au/hienergy;http://www.physics.usyd.edu.au/hienergy/index.php/Main_Page
FHWN;Fachhochschule Wiener Neustadt;Austria;AUT;47.8390165;16.2484158;http://www.fhwn.ac.at/;
Innsbruck;Institut fuer Astro- und Teilchenphysik der Leopold-Franzens-Universitaet Innsbruck;Austria;AUT;47.2647732;11.3428681;http://www.uibk.ac.at/astro/;
Baku;Institute of Physics, Azerbaijan Academy of Sciences;Azerbaijan;AZE;40.3825387;49.8101488;;
Brazilian cluster;Brazilian cluster;Brazil;BRA;-22.904632;-43.204345;http://www.usatlas.bnl.gov,  U.S. ATLAS web-site;
Alberta;University of Alberta;Canada;CAN;53.5234543;-113.5259951;http://cpp.phys.ualberta.ca/cpp/research/atlas.htm;http://www.cpp.ualberta.ca/cpp/research/atlas.htm
Carleton;Carleton University;Canada;CAN;45.3875812;-75.6960202;http://www.physics.carleton.ca/research/atlas/index.html;http://www.physics.carleton.ca/
McGill;McGill University, Department of Physics;Canada;CAN;45.5070284;-73.5784503;http://www.physics.mcgill.ca/;http://www.physics.mcgill.ca
Montreal;Group of Particle Physics, University of Montreal;Canada;CAN;45.5086699;-73.5539925;http://www.lps.umontreal.ca;
Simon Fraser Burnaby;Simon Fraser University;Canada;CAN;49.2780937;-122.9198833;http://hep.phys.sfu.ca;
TRIUMF cluster;TRIUMF cluster;Canada;CAN;49.247417;-123.229517;na;http://www.triumf.ca/atlas-group
Toronto;Department of Physics, University of Toronto;Canada;CAN;43.6607189;-79.3982273;http://hep.physics.utoronto.ca/~atlas;http://www.physics.utoronto.ca/
Vancouver UBC;Department of Physics, University of British Columbia;Canada;CAN;49.2606052;-123.2459939;http://atlas.phas.ubc.ca;
Victoria;University of Victoria;Canada;CAN;48.4634067;-123.3116935;http://particle.phys.uvic.ca/atlas/;https://www.uvic.ca/science/physics/vispa/research/projects/atlas
Chilean cluster;Chilean cluster;Chile;CHL;-33.499243;-70.6157155;http://fisica.uc.cl/;
Chinese cluster;Chinese cluster;China;CHN;39.9261519;116.2366291;;
UAN Bogota;Universidad Antonio Narino, Centro de Investigaciones;Colombia;COL;4.5900603;-74.103441;http://www.uan.edu.co;
Olomouc;Palack\'y University, RCPTM;Czech Republic;CZE;49.593778;17.2508787;http://www.upol.cz;
Prague AS;Academy of Sciences of the Czech Republic, Institute of Physics and Institute for Computer Science;Czech Republic;CZE;50.0755381;14.4378005;http://www-hep.fzu.cz/Atlas.html;
Prague CTU;Czech Technical University in Prague, Inst. of Exp. and Applied Physics, Fac. of Nuclear Sciences and Physical Engineering, Fac. of Mechanical Engineering, Fac. of Transportation Sciences;Czech Republic;CZE;50.1016824;14.3906605;;
