"country_code","rate","n_members","population_2012"
BRA,2.51691341907e-07,50,198656019
CAN,4.94902618127e-06,172,34754312
ITA,5.82804248129e-06,347,59539717
CZE,1.52224595975e-05,160,10510785
FRA,5.20574179926e-06,342,65696689
SVK,3.69851277254e-06,20,5407579
GEO,4.00828378649e-06,18,4490700
ARG,4.86772836528e-07,20,41086927
NOR,8.36891283638e-06,42,5018573
BLR,7.39644970414e-07,7,9464000
ISR,7.71126983124e-06,61,7910500
AUS,1.89243904586e-06,43,22722000
TUR,4.59477292146e-07,34,73997128
USA,3.08364672061e-06,968,313914040
SVN,7.77771674431e-06,16,2057159
CHN,5.84884078197e-08,79,1350695000
CHL,2.00402935869e-06,35,17464814
DEU,8.05711369593e-06,648,80425823
ESP,2.58761183188e-06,121,46761264
NLD,5.19249163322e-06,87,16754962
ARM,2.02082731997e-06,6,2969081
DNK,4.47101459125e-06,25,5591572
POL,1.40129172628e-06,54,38535873
MAR,6.1498453483e-07,20,32521143
SWE,8.29886503041e-06,79,9519374
CHE,3.35131497221e-05,268,7996861
RUS,1.90896866923e-06,274,143533000
ROU,1.99235662267e-06,40,20076727
PRT,5.13559687619e-06,54,10514844
ZAF,9.3735153619e-07,49,52274945
SRB,1.79958518177e-06,13,7223887
AZE,6.45453896089e-07,6,9295784
GBR,7.10549613427e-06,452,63612729
AUT,2.72835403976e-06,23,8429991
COL,8.38496603261e-08,4,47704427
GRC,4.95818402814e-06,55,11092771
JPN,1.27781512491e-06,163,127561489
TWN,1.16204302658e-06,27,23234940
